Number 1 to 100000
1050 and 86800 are FRIENDLY
1068 and 20826 are FRIENDLY
1074 and 5012 are FRIENDLY
1074 and 88784 are FRIENDLY
1080 and 6048 are FRIENDLY
1080 and 6552 are FRIENDLY
1086 and 5068 are FRIENDLY
1086 and 89776 are FRIENDLY
1092 and 3510 are FRIENDLY
1092 and 19344 are FRIENDLY
1110 and 5180 are FRIENDLY
1110 and 91760 are FRIENDLY
1122 and 5236 are FRIENDLY
1122 and 92752 are FRIENDLY
1140 and 22230 are FRIENDLY
1146 and 5348 are FRIENDLY
1146 and 94736 are FRIENDLY
1148 and 20336 are FRIENDLY
1158 and 5404 are FRIENDLY
1158 and 95728 are FRIENDLY
1160 and 6496 are FRIENDLY
1164 and 22698 are FRIENDLY
1182 and 5516 are FRIENDLY
1182 and 97712 are FRIENDLY
1194 and 5572 are FRIENDLY
1194 and 98704 are FRIENDLY
1204 and 21328 are FRIENDLY
1212 and 23634 are FRIENDLY
1230 and 5740 are FRIENDLY
1236 and 24102 are FRIENDLY
1240 and 6944 are FRIENDLY
1254 and 5852 are FRIENDLY
1260 and 22320 are FRIENDLY
1260 and 27000 are FRIENDLY
1260 and 55800 are FRIENDLY
1266 and 5908 are FRIENDLY
1284 and 25038 are FRIENDLY
1288 and 85652 are FRIENDLY
1290 and 6020 are FRIENDLY
1308 and 25506 are FRIENDLY
1316 and 23312 are FRIENDLY
1320 and 7392 are FRIENDLY
1326 and 6188 are FRIENDLY
1338 and 6244 are FRIENDLY
1356 and 26442 are FRIENDLY
1360 and 3400 are FRIENDLY
1362 and 6356 are FRIENDLY
1374 and 6412 are FRIENDLY
1380 and 26910 are FRIENDLY
1398 and 6524 are FRIENDLY
1400 and 93100 are FRIENDLY
1410 and 6580 are FRIENDLY
1428 and 4590 are FRIENDLY
1428 and 25296 are FRIENDLY
1428 and 27846 are FRIENDLY
1434 and 6692 are FRIENDLY
1446 and 6748 are FRIENDLY
1452 and 28314 are FRIENDLY
1480 and 8288 are FRIENDLY
1482 and 6916 are FRIENDLY
1484 and 26288 are FRIENDLY
1485 and 9009 are FRIENDLY
1488 and 1638 are FRIENDLY
1488 and 24384 are FRIENDLY
1500 and 29250 are FRIENDLY
1506 and 7028 are FRIENDLY
1518 and 7084 are FRIENDLY
1520 and 3800 are FRIENDLY
1524 and 29718 are FRIENDLY
1540 and 27280 are FRIENDLY
1540 and 68200 are FRIENDLY
1542 and 7196 are FRIENDLY
1560 and 8736 are FRIENDLY
1572 and 30654 are FRIENDLY
1578 and 7364 are FRIENDLY
1590 and 7420 are FRIENDLY
1596 and 5130 are FRIENDLY
1596 and 28272 are FRIENDLY
1596 and 31122 are FRIENDLY
1614 and 7532 are FRIENDLY
1626 and 7588 are FRIENDLY
1638 and 24384 are FRIENDLY
1640 and 9184 are FRIENDLY
1644 and 32058 are FRIENDLY
1650 and 7700 are FRIENDLY
1652 and 29264 are FRIENDLY
1662 and 7756 are FRIENDLY
1668 and 32526 are FRIENDLY
1680 and 4200 are FRIENDLY
1686 and 7868 are FRIENDLY
1698 and 7924 are FRIENDLY
1708 and 30256 are FRIENDLY
1720 and 9632 are FRIENDLY
1734 and 8092 are FRIENDLY
1740 and 33930 are FRIENDLY
1758 and 8204 are FRIENDLY
1770 and 8260 are FRIENDLY
1788 and 34866 are FRIENDLY
1794 and 8372 are FRIENDLY
1812 and 35334 are FRIENDLY
1820 and 32240 are FRIENDLY
1820 and 80600 are FRIENDLY
1830 and 8540 are FRIENDLY
1840 and 4600 are FRIENDLY
1842 and 8596 are FRIENDLY
1860 and 36270 are FRIENDLY
1866 and 8708 are FRIENDLY
1876 and 33232 are FRIENDLY
1878 and 8764 are FRIENDLY
1880 and 10528 are FRIENDLY
1884 and 36738 are FRIENDLY
1890 and 10416 are FRIENDLY
1902 and 8876 are FRIENDLY
1914 and 8932 are FRIENDLY
1932 and 6210 are FRIENDLY
1932 and 34224 are FRIENDLY
1932 and 37674 are FRIENDLY
1938 and 9044 are FRIENDLY
1950 and 9100 are FRIENDLY
1956 and 38142 are FRIENDLY
1986 and 9268 are FRIENDLY
1988 and 35216 are FRIENDLY
2004 and 39078 are FRIENDLY
2010 and 9380 are FRIENDLY
2022 and 9436 are FRIENDLY
